date,logged_calories,logged_carbs_g,logged_fat_g,logged_protein_g,logged_fibre_g,logged_sugar_g,goal_calories,goal_carbs_g,goal_fat_g,goal_protein_g,foods_logged,food_detail
2026-05-28,,,,,,,3113,312,104,234,0,
2026-05-29,,,,,,,3528,353,118,265,0,
2026-05-30,,,,,,,5662,567,190,425,0,
2026-05-31,,,,,,,5165,517,173,388,0,
2026-06-01,1808,209.2,73.2,79.4,12.1,43.6,3964,397,133,298,13,"BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Grilled Ham, Cheese and Tomato Panini(459kcal) | BREAKFAST:Flat White(58kcal) | LUNCH:Steamed Dumpling (Filled with Meat Poultry or Seafood)(41kcal) | SNACKS:Spirulina Seaweed(26kcal) | SNACKS:Egg Tart(225kcal) | SNACKS:Egg Tart(225kcal)"
2026-06-02,2851,232.9,99.5,266.9,23.6,64.1,4149,415,139,311,22,BREAKFAST:Flat White(58kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Whey Protein(375kcal) | BREAKFAST:Whey Protein(375kcal)
2026-06-03,1500,154.5,68,76.3,24.9,34,3976,398,133,298,11,BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Avocados(160kcal) | LUNCH:Potato French Fries(274kcal)
2026-06-04,2481,270.1,56.7,227.8,19.5,56.9,4035,404,135,303,19,"BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Fried Egg(92kcal) | BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Sliced Ham(46kcal) | LUNCH:Egg(74kcal) | LUNCH:White Rice (Glutinous, Cooked)(169kcal) | SNACKS:Sliced Ham(46kcal)"
2026-06-05,721,84.9,27.8,33,8.4,28.8,3043,305,102,228,8,BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Croissant(231kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Sliced Ham(46kcal) | BREAKFAST:Fried Egg(92kcal) | BREAKFAST:Flat White(58kcal) | LUNCH:Steamed Dumpling (Filled with Meat Poultry or Seafood)(41kcal)
2026-06-06,883,146.8,20.1,30.2,9.5,65.6,6098,610,204,458,7,BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | LUNCH:Fried Rice(333kcal) | LUNCH:Chocolate Milk(190kcal) | LUNCH:Carrot Fruit Juice(41kcal) | SNACKS:Fruit Flavoured Sports Drink(66kcal)
2026-06-07,2277,256.6,46.3,214.7,18.5,55.5,4743,475,159,356,15,"BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Bananas(105kcal) | LUNCH:Cheese(84kcal) | LUNCH:Muffin(321kcal) | LUNCH:Lettuce(8kcal) | LUNCH:Sliced Ham(46kcal) | LUNCH:Ciabatta(271kcal) | LUNCH:Flat White(58kcal) | SNACKS:White Rice (Glutinous, Cooked)(169kcal)"
2026-06-08,1795,205.4,73.4,86.4,29,44.9,3216,322,108,241,14,BREAKFAST:Flat White(58kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Avocados(160kcal) | LUNCH:Potato French Fries(274kcal)
2026-06-09,2156,221.5,91.5,121.6,32,38.5,4078,408,137,306,17,BREAKFAST:Flat White(58kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Weet-Bix(105kcal) | LUNCH:Burrito Bowl(543kcal)
2026-06-10,1792,215.5,64.8,85.5,25.5,28.8,3696,370,124,277,15,"BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Fried Egg(92kcal) | BREAKFAST:Sliced Ham(46kcal) | LUNCH:Egg(74kcal) | LUNCH:White Rice (Glutinous, Cooked)(169kcal) | DINNER:Avocados(160kcal) | DINNER:Croutons(465kcal)"
2026-06-11,1541,162.8,62.9,85.6,22.7,35.1,4296,430,144,322,18,BREAKFAST:Avocados(160kcal) | BREAKFAST:Flat White(58kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Flat White(58kcal) | LUNCH:Toasted White Bread(64kcal)
